CODCLIFOR;RAGIONESOCIALE;CODAGENTE1;AGENTE;DOCUMENTO;TIPODOCUMENTO;NUMRIFDOC;DATARIFDOC;ARTICOLO;DESCRIZIONE;IMBALLO;QUANTITA;UMGEST;PREZZOUNITLORDOEURO;SCONTIESTESI;IVA;PREZZOUNITNETTOEURO;DATACONSEGNA;TOTLORDORIGAEURO;TOTNETTORIGAEURO;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;ANNOTAZIONI;INCOTERM;DESCRIZIONEPAGAMENTO;DATASCADENZA;IMPORTOSCEURO;DESTINAZIONE;IDOBJECT;IDTESTA;IDRIGA;EXPORTCRM;IDTESTARP;IDRIGARP
C  2846;HOUSE TO HOUSE S.R.L.;;NULL;DCG/2016/666;DDT Campionatura Cliente;666;2016-06-20 00:00:00.000;20051#000XXX;AMPHOTENSID B4/CONC-I;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-13 00:00:00.000;.0000;.0000;2016;DCG;666;;2016-06-20 00:00:00.000;;FRANCO DESTINO;NULL;NULL;NULL;;91772;423023;2;1;419028;1
C  2846;HOUSE TO HOUSE S.R.L.;;NULL;DCG/2016/666;DDT Campionatura Cliente;666;2016-06-20 00:00:00.000;20194#272XXX;FLEROGUM K/38;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-13 00:00:00.000;.0000;.0000;2016;DCG;666;;2016-06-20 00:00:00.000;;FRANCO DESTINO;NULL;NULL;NULL;;91772;423023;3;1;419028;2
C  2846;HOUSE TO HOUSE S.R.L.;;NULL;DCG/2016/666;DDT Campionatura Cliente;666;2016-06-20 00:00:00.000;20260#242XXX;PROTELAN VE/K NP;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-13 00:00:00.000;.0000;.0000;2016;DCG;666;;2016-06-20 00:00:00.000;;FRANCO DESTINO;NULL;NULL;NULL;;91772;423023;4;1;419028;3
C  2846;HOUSE TO HOUSE S.R.L.;;NULL;DCG/2016/666;DDT Campionatura Cliente;666;2016-06-20 00:00:00.000;20300#264XXX;SETACIN 103/SPEZIAL NP;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-13 00:00:00.000;.0000;.0000;2016;DCG;666;;2016-06-20 00:00:00.000;;FRANCO DESTINO;NULL;NULL;NULL;;91772;423023;5;1;419028;4
C  2846;HOUSE TO HOUSE S.R.L.;;NULL;DCG/2016/666;DDT Campionatura Cliente;666;2016-06-20 00:00:00.000;20391#243XXX;SULFETAL LS 40/T;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-13 00:00:00.000;.0000;.0000;2016;DCG;666;;2016-06-20 00:00:00.000;;FRANCO DESTINO;NULL;NULL;NULL;;91772;423023;6;1;419028;5
C  2846;HOUSE TO HOUSE S.R.L.;;NULL;DCG/2016/666;DDT Campionatura Cliente;666;2016-06-20 00:00:00.000;20517#000XXX;ZETESOL LES 2/SL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-13 00:00:00.000;.0000;.0000;2016;DCG;666;;2016-06-20 00:00:00.000;;FRANCO DESTINO;NULL;NULL;NULL;;91772;423023;8;1;419028;7
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/667;DDT Campionatura Cliente;667;2016-06-20 00:00:00.000;32462;PROPETAL 120;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-17 00:00:00.000;.0000;.0000;2016;DCG;667;;2016-06-20 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;PIK KEMICAL SRL VIA AIACCIA, 72 STAGNO COLLESALVETTI LI;91773;423024;2;1;419308;1
C  1438;FARMEN INT. COSMETICS DISTRIBUTION SPA;;NULL;DCG/2016/668;DDT Campionatura Cliente;668;2016-06-20 00:00:00.000;20067#000XXX;ZETEMOL ISL;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-16 00:00:00.000;.0000;.0000;2016;DCG;668;;2016-06-20 00:00:00.000;;FRANCO DESTINO;RIC.BANC.120 GG DF FM AL 10;NULL;NULL;;91774;423025;2;1;419170;1
C  2195;MORARA SILVIA;;NULL;DCG/2016/669;DDT Campionatura Cliente;669;2016-06-20 00:00:00.000;32435;PHOSFETAL 201;FLACONI;.500;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-16 00:00:00.000;.0000;.0000;2016;DCG;669;;2016-06-20 00:00:00.000;;NULL;NULL;NULL;NULL;CAT CHIMICA  LOC. LA VILLA - 44 SUGREMARO COMPIANO PR;91775;423026;2;1;419169;1
C  2195;MORARA SILVIA;;NULL;DCG/2016/670;DDT Campionatura Cliente;670;2016-06-20 00:00:00.000;11045;OXETAL ML 2;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-16 00:00:00.000;.0000;.0000;2016;DCG;670;;2016-06-20 00:00:00.000;;NULL;NULL;NULL;NULL;PACKAGING IMOLESE SPA VIA TURATI 22 IMOLA BO;91776;423027;2;1;419168;1
C  2195;MORARA SILVIA;;NULL;DCG/2016/670;DDT Campionatura Cliente;670;2016-06-20 00:00:00.000;11040;ALCOOL C12 C14;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-16 00:00:00.000;.0000;.0000;2016;DCG;670;;2016-06-20 00:00:00.000;;NULL;NULL;NULL;NULL;PACKAGING IMOLESE SPA VIA TURATI 22 IMOLA BO;91776;423027;3;1;419168;2
C  2195;MORARA SILVIA;;NULL;DCG/2016/671;DDT Campionatura Cliente;671;2016-06-20 00:00:00.000;25507#000XXX;ZETESOL LES 2/F - RSPO - MB;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-16 00:00:00.000;.0000;.0000;2016;DCG;671;;2016-06-20 00:00:00.000;;NULL;NULL;NULL;NULL;COSMOPROJECT SRL STRADA MAZZABUE 5 CASALE DI MEZZANI PR;91777;423028;2;NULL;419238;1
C   159;MIL MIL 76 S.P.A.;;NULL;DCG/2016/672;DDT Campionatura Cliente;672;2016-06-20 00:00:00.000;21109#000XXX;ZETEMOL CSO;FLACONI;.500;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-16 00:00:00.000;.0000;.0000;2016;DCG;672;;2016-06-20 00:00:00.000;;FRANCO DESTINO;RIM.DIR.120 GG DF FM;NULL;NULL;;91778;423029;2;1;419267;1
C  1499;COSMOPHARM LTD;A    69;ELTRA CHEMICALS LTD.;DCG/2016/673;DDT Campionatura Cliente;673;2016-06-20 00:00:00.000;20503#000XXX;ZETESOL AN/70;NULL;5.000;KG;.000000;;NON IMP.ART.8 LETT.A-B-C;.000000;2016-05-03 00:00:00.000;.0000;.0000;2016;DCG;673;;2016-06-20 00:00:00.000;;FRANCO DESTINO;90 GG DATA B/L;NULL;NULL;C.S.F. INOX SPA STRADA PER BIBBIANA 7 MONTECCHIO EMILIA (RE);91780;423031;2;1;417793;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/674;DDT Campionatura Cliente;674;2016-06-20 00:00:00.000;43007;AMPHOTENSID GM 1993;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-12 00:00:00.000;.0000;.0000;2016;DCG;674;;2016-06-20 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;GSM CHEMICALS SRL VIA CIMAROSA, 2 SANTA CROCE SULL'ARNO (STAFFOLI) PI;91782;423033;2;1;418939;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/675;DDT Campionatura Cliente;675;2016-06-20 00:00:00.000;43070;T-QUAT CTA CONC;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-05 00:00:00.000;.0000;.0000;2016;DCG;675;;2016-06-20 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;91783;423034;2;1;418108;1
C   498;EIGENMANN E VERONELLI SPA;;NULL;DCG/2016/676;DDT Campionatura Cliente;676;2016-06-20 00:00:00.000;32020;AMPHOTENSID EH;NULL;5.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-09 00:00:00.000;.0000;.0000;2016;DCG;676;;2016-06-20 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;91784;423035;2;1;418416;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/677;DDT Campionatura Cliente;677;2016-06-20 00:00:00.000;32560;SULFETAL 4069;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-11 00:00:00.000;.0000;.0000;2016;DCG;677;;2016-06-20 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;CLEARY ITALIA SRLVIA SANDRO PERTINI, 34/36 VIA SANDRO PERTINI, 34/36 ALTOPASCIO (SPIANATE) LU;91786;423037;2;1;418661;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/677;DDT Campionatura Cliente;677;2016-06-20 00:00:00.000;43230;SULFETAL 4105;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-05-11 00:00:00.000;.0000;.0000;2016;DCG;677;;2016-06-20 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;CLEARY ITALIA SRLVIA SANDRO PERTINI, 34/36 VIA SANDRO PERTINI, 34/36 ALTOPASCIO (SPIANATE) LU;91786;423037;3;1;418661;2
C  1792;SABO SPA;;NULL;DCG/2016/678;DDT Campionatura Cliente;678;2016-06-22 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;FLACONI;5.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-21 00:00:00.000;.0000;.0000;2016;DCG;678;;2016-06-22 00:00:00.000;;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;0;423453;2;1;423193;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/679;DDT Campionatura Cliente;679;2016-06-22 00:00:00.000;20517#000XXX;ZETESOL LES 2/SL;NULL;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-21 00:00:00.000;.0000;.0000;2016;DCG;679;;2016-06-22 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;CENTRO CHIMICA SRL VIALE DELLA REPUBBLICA, 298 PRATO PO;0;423455;2;1;423208;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/680;DDT Campionatura Cliente;680;2016-06-22 00:00:00.000;20285#000XXX;PROTELAN GC;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-21 00:00:00.000;.0000;.0000;2016;DCG;680;;2016-06-22 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;DORABRUSCHI COSMETICI SRL VIA G. ROSSA, 17 BORGO SAN LORENZO FI;0;423457;2;1;423182;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/681;DDT Campionatura Cliente;681;2016-06-22 00:00:00.000;20211#000XXX;LUMOROL 54/SPEZIAL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-21 00:00:00.000;.0000;.0000;2016;DCG;681;;2016-06-22 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;CLEARY ITALIA SPA VIA SANDRO PERTINI 34/36 ALTOPASCIO LU;0;423458;2;1;423123;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/681;DDT Campionatura Cliente;681;2016-06-22 00:00:00.000;20066#000XXX;AMPHOTENSID HPOX;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-21 00:00:00.000;.0000;.0000;2016;DCG;681;;2016-06-22 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;CLEARY ITALIA SPA VIA SANDRO PERTINI 34/36 ALTOPASCIO LU;0;423458;3;1;423123;2
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/681;DDT Campionatura Cliente;681;2016-06-22 00:00:00.000;20517#000XXX;ZETESOL LES 2/SL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-21 00:00:00.000;.0000;.0000;2016;DCG;681;;2016-06-22 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;CLEARY ITALIA SPA VIA SANDRO PERTINI 34/36 ALTOPASCIO LU;0;423458;4;1;423123;3
C  2195;MORARA SILVIA;;NULL;DCG/2016/682;DDT Campionatura Cliente;682;2016-06-22 00:00:00.000;20069#000XXX;AMPHOTENSID AB;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-21 00:00:00.000;.0000;.0000;2016;DCG;682;;2016-06-22 00:00:00.000;;NULL;NULL;NULL;NULL;PIERPAOLI SRL VIA E. MATTEI 0 SENIGALLIA AN;0;423460;2;1;423077;1
C  2846;HOUSE TO HOUSE S.R.L.;;NULL;DCG/2016/683;DDT Campionatura Cliente;683;2016-06-22 00:00:00.000;20516#000XXX;ZETESOL LES 2/C;NULL;10.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-22 00:00:00.000;.0000;.0000;2016;DCG;683;;2016-06-22 00:00:00.000;;FRANCO DESTINO;NULL;NULL;NULL;;0;423461;2;1;423360;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/684;DDT Campionatura Cliente;684;2016-06-22 00:00:00.000;20522#072XXX;ZETESOL MG-FS;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-20 00:00:00.000;.0000;.0000;2016;DCG;684;;2016-06-22 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;IPRO SRL STRADA REGIONALE 66, NR.2 LOC. GELLO PT;0;423462;2;1;422936;1
C  1222;COSMINT SPA;;NULL;DCG/2016/685;DDT Campionatura Cliente;685;2016-06-22 00:00:00.000;20522#112XXX;ZETESOL MG/B;NULL;2.000;KG;.000000;;NON IMP.ART.8 II COMMA;.000000;2016-06-21 00:00:00.000;.0000;.0000;2016;DCG;685;;2016-06-22 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;0;423469;2;1;423319;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/686;DDT Campionatura Cliente;686;2016-06-22 00:00:00.000;43053;AMPHOTENSID GB 2009 CONC.;FLACONI;2.000;KG;1.460000;;ALIQUOTA 22%;1.460000;2016-06-20 00:00:00.000;2.9200;2.9200;2016;DCG;686;;2016-06-22 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;0;423471;2;1;422977;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/686;DDT Campionatura Cliente;686;2016-06-22 00:00:00.000;20229#000XXX;LUMOROL CMS;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-20 00:00:00.000;.0000;.0000;2016;DCG;686;;2016-06-22 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;0;423471;3;1;422977;2
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/686;DDT Campionatura Cliente;686;2016-06-22 00:00:00.000;20230#000XXX;LUMOROL BMS;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-20 00:00:00.000;.0000;.0000;2016;DCG;686;;2016-06-22 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;0;423471;4;1;422977;3
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/687;DDT Campionatura Cliente;687;2016-06-22 00:00:00.000;20285#000XXX;PROTELAN GC;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-20 00:00:00.000;.0000;.0000;2016;DCG;687;;2016-06-22 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;0;423473;2;1;423036;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/688;DDT Campionatura Cliente;688;2016-06-22 00:00:00.000;20385#095XXX;SULFETAL LS A PH ALTO;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-20 00:00:00.000;.0000;.0000;2016;DCG;688;;2016-06-22 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;ACRIL NOVA SRL VIA DELLA LORA, 11 BARBERINO DI MUGELLO FI;0;423474;2;1;422930;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/689;DDT Campionatura Cliente;689;2016-06-22 00:00:00.000;20517#000XXX;ZETESOL LES 2/SL;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-17 00:00:00.000;.0000;.0000;2016;DCG;689;;2016-06-22 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;0;423475;2;1;422807;1
C  1272;HUWELL CHEMICALS SPA;;NULL;DCG/2016/690;DDT Campionatura Cliente;690;2016-06-22 00:00:00.000;20516#000XXX;ZETESOL LES 2/C;NULL;.500;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-17 00:00:00.000;.0000;.0000;2016;DCG;690;;2016-06-22 00:00:00.000;;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;HUWELL CHEMICALS SPA VIA DARWIN, 71 SETTIMO M.SE MI;0;423476;2;1;422802;1
C   159;MIL MIL 76 S.P.A.;;NULL;DCG/2016/691;DDT Campionatura Cliente;691;2016-06-23 00:00:00.000;11299;OPACIFIER 621;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-23 00:00:00.000;.0000;.0000;2016;DCG;691;;2016-06-23 00:00:00.000;;FRANCO DESTINO;RIM.DIR.120 GG DF FM;NULL;NULL;;92620;423604;2;1;423576;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/692;DDT Campionatura Cliente;692;2016-06-23 00:00:00.000;43078;ZETEMULS HE;FLACONI;1.000;KG;2.200000;;ALIQUOTA 22%;2.200000;2016-06-22 00:00:00.000;2.2000;2.2000;2016;DCG;692;;2016-06-23 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;92636;423608;2;1;423386;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/692;DDT Campionatura Cliente;692;2016-06-23 00:00:00.000;11159;OXETAL ML 3;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-22 00:00:00.000;.0000;.0000;2016;DCG;692;;2016-06-23 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;92636;423608;3;1;423386;2
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/693;DDT Campionatura Cliente;693;2016-06-23 00:00:00.000;20275#000XXX;PROTELAN NMF;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-22 00:00:00.000;.0000;.0000;2016;DCG;693;;2016-06-23 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;LE ANTICHE MURA DI CAPARRINI STEFANIA VIA SOTTO POGGI DI SAN GIUSTO, 21/A/B EMPOLI FI;92637;423609;2;1;423454;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/693;DDT Campionatura Cliente;693;2016-06-23 00:00:00.000;20296#000XXX;PROTELAN ESG;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-22 00:00:00.000;.0000;.0000;2016;DCG;693;;2016-06-23 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;LE ANTICHE MURA DI CAPARRINI STEFANIA VIA SOTTO POGGI DI SAN GIUSTO, 21/A/B EMPOLI FI;92637;423609;3;1;423454;2
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/694;DDT Campionatura Cliente;694;2016-06-23 00:00:00.000;20236#000XXX;PROTELAN MGL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-22 00:00:00.000;.0000;.0000;2016;DCG;694;;2016-06-23 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;LABORATORI HUR VIA DEI MILLE, 90 FIRENZE FI;92639;423611;2;1;423459;1
C   725;BORMAN ITALIANA S.R.L.;;NULL;DCG/2016/695;DDT Campionatura Cliente;695;2016-06-23 00:00:00.000;43078;ZETEMULS HE;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-22 00:00:00.000;.0000;.0000;2016;DCG;695;;2016-06-23 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;92641;423613;2;1;423449;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/696;DDT Campionatura Cliente;696;2016-06-23 00:00:00.000;43035;DIVALIN LC 7;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-13 00:00:00.000;.0000;.0000;2016;DCG;696;;2016-06-23 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;92643;423615;2;1;422185;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/696;DDT Campionatura Cliente;696;2016-06-23 00:00:00.000;32410;OXETAL VD 92;FLACONI;1.000;KG;3.950000;;ALIQUOTA 22%;3.950000;2016-06-13 00:00:00.000;3.9500;3.9500;2016;DCG;696;;2016-06-23 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;92643;423615;3;1;422185;2
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/696;DDT Campionatura Cliente;696;2016-06-23 00:00:00.000;43053;AMPHOTENSID GB 2009 CONC.;FLACONI;2.000;KG;1.460000;;ALIQUOTA 22%;1.460000;2016-06-13 00:00:00.000;2.9200;2.9200;2016;DCG;696;;2016-06-23 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;92643;423615;4;1;422185;3
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/696;DDT Campionatura Cliente;696;2016-06-23 00:00:00.000;43192;T-OIL OP/ 2-etilesil palmitato;FLACONI;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-13 00:00:00.000;.0000;.0000;2016;DCG;696;;2016-06-23 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;92643;423615;5;1;422185;4
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/696;DDT Campionatura Cliente;696;2016-06-23 00:00:00.000;32035;AUTOPOON 4012;FLACONI;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-06-13 00:00:00.000;.0000;.0000;2016;DCG;696;;2016-06-23 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;92643;423615;6;1;422185;5
C  1531;DISTRIBUCIONES INDUSTRIALES VARIADAS, S.A.;;NULL;DCG/2016/697;DDT Campionatura Cliente;697;2016-06-23 00:00:00.000;20271#000XXX;PURTON SFD;NULL;2.000;KG;.221400;;NON IMP.ART.8 LETT.A-B-C;.221435;2016-06-10 00:00:00.000;.4400;.4400;2016;DCG;697;;2016-06-23 00:00:00.000;;CIF PUERTO BARRIOS;90 GG DATA B/L;NULL;NULL;;92649;423621;2;1;421947;1
C  2484;INTERALLIS CHEMICALS d.o.o.;;NULL;DCG/2016/698;DDT Campionatura Cliente;698;2016-06-23 00:00:00.000;43220;SULFETAL C 90-POLVERE;SACCHI;.500;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2016-06-22 00:00:00.000;.0000;.0000;2016;DCG;698;;2016-06-23 00:00:00.000;;EXW TRICERRO;RIM.DIR.60 GG DF;NULL;NULL;NUTRIFIT DOO UL.CRVENOG KRIZA 33/I ZAGREB - CROAZIA;92650;423622;2;1;423370;1
C  2484;INTERALLIS CHEMICALS d.o.o.;;NULL;DCG/2016/698;DDT Campionatura Cliente;698;2016-06-23 00:00:00.000;20194#272XXX;FLEROGUM K/38;NULL;1.000;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2016-06-22 00:00:00.000;.0000;.0000;2016;DCG;698;;2016-06-23 00:00:00.000;;EXW TRICERRO;RIM.DIR.60 GG DF;NULL;NULL;NUTRIFIT DOO UL.CRVENOG KRIZA 33/I ZAGREB - CROAZIA;92650;423622;3;1;423370;2
C  2484;INTERALLIS CHEMICALS d.o.o.;;NULL;DCG/2016/698;DDT Campionatura Cliente;698;2016-06-23 00:00:00.000;22047#000XXX;ZUSOLAT 1007;NULL;1.000;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2016-06-22 00:00:00.000;.0000;.0000;2016;DCG;698;;2016-06-23 00:00:00.000;;EXW TRICERRO;RIM.DIR.60 GG DF;NULL;NULL;NUTRIFIT DOO UL.CRVENOG KRIZA 33/I ZAGREB - CROAZIA;92650;423622;4;NULL;423370;3
C  2484;INTERALLIS CHEMICALS d.o.o.;;NULL;DCG/2016/698;DDT Campionatura Cliente;698;2016-06-23 00:00:00.000;20021#000XXX;AMPHOTENSID B4/C;NULL;1.000;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2016-06-22 00:00:00.000;.0000;.0000;2016;DCG;698;;2016-06-23 00:00:00.000;;EXW TRICERRO;RIM.DIR.60 GG DF;NULL;NULL;NUTRIFIT DOO UL.CRVENOG KRIZA 33/I ZAGREB - CROAZIA;92650;423622;5;1;423370;4
C  2484;INTERALLIS CHEMICALS d.o.o.;;NULL;DCG/2016/698;DDT Campionatura Cliente;698;2016-06-23 00:00:00.000;20051#000XXX;AMPHOTENSID B4/CONC-I;NULL;1.000;KG;.000000;;NON IMP.ART.41 DL 331/93;.000000;2016-06-22 00:00:00.000;.0000;.0000;2016;DCG;698;;2016-06-23 00:00:00.000;;EXW TRICERRO;RIM.DIR.60 GG DF;NULL;NULL;NUTRIFIT DOO UL.CRVENOG KRIZA 33/I ZAGREB - CROAZIA;92650;423622;6;1;423370;5
C  1003;ZSCHIMMER & SCHWARZ GMBH & CO;;NULL;DCG/2016/699;DDT Campionatura Cliente;699;2016-06-23 00:00:00.000;20249#000XXX;PROTELAN AGL 95/C;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2016-06-07 00:00:00.000;.2500;.2500;2016;DCG;699;;2016-06-23 00:00:00.000;;DAP LAHNSTEIN;RIM.DIR.60 GG DF FM;NULL;NULL;;92651;423623;2;1;421644;1
C  2853;HELION LTD;A    69;ELTRA CHEMICALS LTD.;DCG/2016/700;DDT Campionatura Cliente;700;2016-06-23 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;20.000;KG;.500000;;NON IMP.ART.8 LETT.A-B-C;.500000;2016-06-21 00:00:00.000;10.0000;10.0000;2016;DCG;700;;2016-06-23 00:00:00.000;;CIF ASHDOD;90 GG DATA B/L;NULL;NULL;;92652;423624;2;1;423114;1
C  1026;ZSCHIMMER & SCHWARZ FRANCE;;NULL;DCG/2016/701;DDT Campionatura Cliente;701;2016-06-23 00:00:00.000;20207#241XXX;PROTELAN LS/9011;NULL;1.000;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2016-04-26 00:00:00.000;.2500;.2500;2016;DCG;701;;2016-06-23 00:00:00.000;;DAP;RIM.DIR.120 GG DF FM;NULL;NULL;DIPTA 505, RUE P. BERTHIER - CS 70482 AIX EN PROVENCE - CEDEX 3-FRANCIA;92653;423625;2;1;416869;1
C  1003;ZSCHIMMER & SCHWARZ GMBH & CO;;NULL;DCG/2016/702;DDT Campionatura Cliente;702;2016-06-23 00:00:00.000;20296#000XXX;PROTELAN ESG;NULL;.500;KG;.250000;;NON IMP.ART.41 DL 331/93;.250000;2016-06-22 00:00:00.000;.1300;.1300;2016;DCG;702;;2016-06-23 00:00:00.000;;DAP LAHNSTEIN;RIM.DIR.60 GG DF FM;NULL;NULL;;92655;423627;2;1;422718;1
